comment,The Stuyvesant Schedules,,,
period,spr-1,Period 1,8:19a,8:54a
period,spr-1,Period 2,8:58a,9:33a
period,spr-1,Period 3,9:37a,10:12a
period,spr-1,Period 4,10:16a,10:51a
period,spr-1,Period 5,10:55a,11:30a
period,spr-1,Period 6,11:34a,12:09p
period,spr-1,Period 7,12:13p,12:48p
period,spr-1,Period 8,12:52p,1:27p
period,spr-1,Period 9,1:31p,2:06p
period,spr-1,Period 10,2:10p,2:45p
period,spr-1,After school,2:45p,11:59p
,,,,
property,amc-2017,button,Tue-AMC,
property,amc-2017,urlarg,amc-2017,
property,amc-2017,description,Tues - AMC,
period,amc-2017,Before school,12:00a,8:00a
period,amc-2017,Period 1,8:00a,8:31a
period,amc-2017,Period 2,8:35a,9:06a
period,amc-2017,Period 3,9:10a,9:41a
period,amc-2017,Period 4,9:45a,10:16a
period,amc-2017,Period 5,10:20a,10:51a
period,amc-2017,Period 6,10:55a,11:26a
period,amc-2017,Period 7,11:30a,12:01p
period,amc-2017,Period 8,12:05p,12:36p
period,amc-2017,Period 9,12:40p,1:11p
period,amc-2017,Period 10,1:15p,1:46p
period,amc-2017,breather,1:46p,2:00p
period,amc-2017,AMC exam,2:00p,3:30p
period,amc-2017,After school,3:30p,11:59p
